index,prediction
100078,"2kg, 4.4lb, 4kg, 8.8lb, 6kg, 13.2lb, 8kg, 17.6lb, 22lb, 12kg, 26.4lb, 14kg, 30.8lb, 16kg, 35.2lb, 18kg, 39.6lb, 20kg, 44lb"
100079,
100080,
100081,"5 cm, 3 cm, 5 cm"
100082,"5 cm, 3 cm, 5 cm"
100083,
100084,"4 inch, 4 inch, 10 cm, 2.6cm"
100085,"4 inch, 4 inch, 10 cm, 2.6cm"
100086,"150 cm, 36cm, 109 cm"
100087,"0.95cm, 0.4inch, 23cm, 9inch"
100088,33cm
100089,"76 mm, 135 mm"
100090,"76 mm, 135 mm"
100091,"76 mm, 135 mm"
100092,"23cm, 24.8 cm, 6.3 cm, 46mm, 32mm, 47 mm"
100093,
100094,
100095,"56cm, 41cm, 44cm"
100096,"56cm, 41cm, 44cm"
100097,"5.1 in, 13.0 cm, 8.2 in, 21.0 cm"
100098,"5.1 in, 13.0 cm, 8.2 in, 21.0 cm"
100099,"9in, 4in"
100100,
100101,
100102,"47cm, 5cm"
100103,"8.6 in, 1.8 in"
100104,"8.6 in, 1.8 in"
100105,"18.13 in, 46 cm, 5cm, 6.88 in, 5 cm"
100106,
100107,"93 cm, 71 cm, 75 cm, 58 cm, 58 cm, 32 cm"
100108,
100109,"72 cm, 8 cm"
100110,"72 cm, 8 cm"
100111,
100112,6 inch
100113,6 inch
100114,6 inch
100115,"3.5cm, 6.5cm"
100116,"18cm, 13cm"
100117,9.80 in
100118,9.80 in
100119,"137mm, 5.39in, 10mm, 4.33in"
100120,"137mm, 5.39in, 10mm, 4.33in"
100121,"80 cm, 15.6 inch, 45 cm, 39 cm, 27 cm, 32 cm"
100122,2.4in
100123,2.4in
100124,2.4in
100125,
100126,"25 cm, 120 cm, 13 cm, 5 cm, 44 cm, 25 cm, 44 cm, 1 cm, 2m"
100127,"6cm, 6cm, 12cm"
100128,"6cm, 6cm, 12cm"
100129,"6cm, 6cm, 12cm"
100130,"81.5 cm, 65.5 cm, 49.5 cm, 33.5 cm, 17.5 cm, 26 cm, 24 cm"
100131,"35cm, 13.7inch"
100132,"35cm, 13.7inch"
100133,"6.35cm, 10.15cm, 10.15cm"
100134,2.67cm
100135,"3 kg, 6lbs"
100136,"7.86 in, 20 cm"
100137,"7.86 in, 20 cm"
100138,20cm
100139,20cm
100140,"35mm, 97mm"
100141,"35mm, 97mm"
100142,"8.3 in, 21.0 cm, 10.0 in, 25.5 cm"
100143,
100144,
100145,"3 cm, 11.5 cm, 3 cm, 14.5 cm"
100146,"3in, 3.3 inch"
100147,"3in, 3.3 inch"
100148,1.25 lb
100149,"5.4cm, 38.6 cm"
100150,"5.4cm, 38.6 cm"
100151,
100152,
100153,
100154,
100155,
100156,20in
100157,20in
100158,20in
100159,"44in, 240mm, 6.29in, 760mm, 29.92in, 160mm, 200mm, 7.87in, 800mm, 31.49in"
100160,"1.9cm, 8.7cm"
100161,"1.9cm, 8.7cm"
100162,2.7cm
100163,2.7cm
100164,2.7cm
100165,
100166,28cm
100167,28cm
100168,
100169,
100170,"10.6 in, 8.2 in, 26.3 in"
100171,"3.38in, 2.75in"
100172,"105mm, 20mm, 30mm"
100173,
100174,
100175,"72cm, 110cm, 148cm, 165cm, 155cm, 190cm, 155cm, 190cm, 80cm, 130cm, 100cm, 160cm, 152cm"
100176,"45cm, 22cm"
100177,"175mm, 400mm"
100178,"215 mm, 150 mm"
100179,19cm
100180,19cm
100181,17.3 inch
100182,
100183,
100184,
100185,"5.51 in, 5.9 in"
100186,"5.51 in, 5.9 in"
100187,"9cm, 0in, 7in"
100188,"9cm, 0in, 7in"
100189,
100190,
100191,"3.14 in, 3.14 in, 7.87 in, 5.5 in"
100192,"66.4cm, 66.4cm, 59.4cm, 60.9cm"
100193,"20cm, 7.9in, 12cm, 4.7in"
100194,20cm
100195,20cm
100196,20cm
100197,"0.02 mm, 10 cm, 3.93  cm"
100198,"4.72 inch, 9.45 inch"
100199,"48inch, 4inch"
100200,"48inch, 4inch"
100201,"25cm, 3.5inch, 9cm, 0.2inch, 6inch"
100202,
100203,"16.5cm, 6.49in"
100204,"16.5cm, 6.49in"
100205,"500kg, 1.6kg"
100206,"500kg, 1.6kg"
100207,"16cm, 11cm"
100208,"16cm, 11cm"
100209,"40 cm, 42 cm, 82 cm, 42 cm, 50 cm, 48 cm"
100210,"35cm, 13cm, 13cm"
100211,
100212,
100213,
100214,"9.84 inch, 19.68 inch, 29.52 inch"
100215,"9.84 inch, 19.68 inch, 29.52 inch"
100216,"9.6 inch, 10.4 inch, 6.7 inch, 9.4 inch"
100217,"9.6 inch, 10.4 inch, 6.7 inch, 9.4 inch"
100218,"8inch, 28inch, 62inch"
100219,
100220,3.3cm
100221,3.3cm
100222,
100223,
100224,
100225,"17 cm, 6.7in"
100226,"17 cm, 6.7in"
100227,"210mm, 70mm, 64 mm"
100228,"20mm, 11mm, 9mm, 8mm, 8mm"
100229,
100230,
100231,
100232,"17 cm, 30 cm"
100233,"1.57 in, 4 cm"
100234,"21cm, 8.27in"
100235,"21cm, 8.27in"
100236,"2.76in, 7cm"
100237,"2.76in, 7cm"
100238,"2.76in, 7cm"
100239,"29cm, 11.4in"
100240,"0.98inch, 2.5cm, 1.77inch, 4.5cm"
100241,"28 ft, 14.76 ft, 2.2inch, 1.5inch"
100242,"28 ft, 14.76 ft, 2.2inch, 1.5inch"
100243,"320mm, 150mm"
100244,"320mm, 150mm"
100245,
100246,
100247,
100248,"22.7 cm, 24.6 cm, 25mm, 35mm, 7mm, 16mm"
100249,"22.7 cm, 24.6 cm, 25mm, 35mm, 7mm, 16mm"
100250,"22.7 cm, 24.6 cm, 25mm, 35mm, 7mm, 16mm"
100251,
100252,
100253,"14 cm, 14 cm, 4 cm, 9.6 cm"
100254,
100255,3.3in
100256,3.3in
100257,"30cm, 71.8in"
100258,"30cm, 71.8in"
100259,"7.87in, 4.33in"
100260,"7.87in, 4.33in"
100261, ml
100262,
100263,
100264,"6.1g, 6.1g, 6.1g"
100265,
100266,"8 inch, 10 inch, 12 inch"
100267,"34cm, 34cm, 53cm, 34cm, 50cm, 47cm"
100268,"34cm, 34cm, 53cm, 34cm, 50cm, 47cm"
100269,"8cm, 23cm"
100270,
100271,
100272,
100273,"9.5cm, 2.54cm"
100274,"9.5cm, 2.54cm"
100275,"7.2 in, 3.2 in"
100276,"7.2 in, 3.2 in"
100277,
100278,
100279,
100280,24mm
100281,
100282,"178mm, 100mm"
100283,"178mm, 100mm"
100284,"5.9 inch, 6.8 inch"
100285,"5.9 inch, 6.8 inch"
100286,"5.9 inch, 6.8 inch"
100287,"69in, 17cm, 1.58in"
100288,"69in, 17cm, 1.58in"
100289,"1.20cm, 0.47in, 1.50cm, 0.59in"
100290,"1.20cm, 0.47in, 1.50cm, 0.59in"
100291,"14.5cm, 6.7cm, 8cm"
100292,"2cm, 83in"
100293,"2cm, 83in"
100294,
100295,
100296,
100297,"3.77 in, 9.6 cm"
100298,1.2 inch
100299,1.2 inch
100300,"30cm, 40cm, 22.5cm, 60cm, 22.5cm, 9cm, 70cm, 22.5cm, 3cm, 22.5cm, 70cm"
100301,
100302,
100303,
100304,"2inch, 2.8inch"
100305,"5.3in, 5.7in, 5.1in, 8in, 5.1in"
100306,"3cm, 22mm, 8cm"
100307,
100308,"96 mm, 255 mm"
100309,"96 mm, 255 mm"
100310,"36in, 6cm, 15in, 8cm, 94in"
100311,"34cm, 13.38in, 34cm, 13.38in"
100312,"34cm, 13.38in, 34cm, 13.38in"
100313,"4.72 inch, 1.57 inch, 3.78 inch, 2.36 inch"
100314,3inch
100315,"23cm, 11.2cm, 36cm"
100316,
100317,
100318,
100319,"11 cm, 1 in"
100320,
100321,
100322,
100323,"7.8in, 7.8in, 2.8in, 4in"
100324,"5.1 inch, 3 inch, 7.3 inch"
100325,"270cm, 261cm, 200cm, 252cm, 191cm, 182cm, 22cm, 22cm, 120cm, 250cm, 250cm"
100326,"3in, 5cm, 3in"
100327,"3.2cm, 1.25in"
100328,"3.2cm, 1.25in"
100329,4 inch
100330,"13cm, 5.1in"
100331,"13cm, 5.1in"
100332,
100333,
100334,
100335,"35mm, 117mm"
100336,"35mm, 117mm"
100337,
100338,
100339,
100340,
100341,56.7in
100342,56.7in
100343,60mm
100344,60mm
100345,"45cm, 18in"
100346,"45cm, 18in"
100347,"276mm, 24mm, 135mm"
100348,"276mm, 24mm, 135mm"
100349,"800 lbs, 800 lbs, 600 lbs"
100350,
100351,
100352,"9.6inch, 1.2inch, 14.2inch, 1.6inch"
100353,"0.45cm, 17.72 inch"
100354,"29mm, 44mm, 22mm, 10m, 14mm"
100355,"6.1 inch, 5.7 inch"
100356,"6.1 inch, 5.7 inch"
100357,"12 cm, 8 cm, 5.3 cm, 10 cm"
100358,"12 cm, 8 cm, 5.3 cm, 10 cm"
100359,"67in, 7cm, 6in, 5cm"
100360,"67in, 7cm, 6in, 5cm"
100361,"67in, 7cm, 6in, 5cm"
100362,6.53in
100363,6.53in
100364,"74cm, 46cm, 25cm, 50cm, 54cm, 89cm, 67cm, 62cm, 62cm, 2 cm, 47cm, 82cm"
100365,
100366,
100367,
100368,2in
100369,"120v, 240v, 420w, 12v, 3v, 180w, 3v"
100370,
100371,"41cm, 16.14in, 29cm, 11.42in, 14cm, 5.51in"
100372,335mm
100373,335mm
100374,335mm
100375,"6cm, 1.9inch, 28cm, 1.9inch, 3.9inch, 16inch, 40.6cm, 9inch, 23cm"
100376,
100377,"6ft, 8ft"
100378,"1.96in, 17cm, 6.69in, 25in"
100379,"92cm, 20cm, 25cm, 45cm"
100380,"13.8cm, 5.43in"
100381,"13.8cm, 5.43in"
100382,"13.8cm, 5.43in"
100383,2cm
100384,"135mm, 140mm"
100385,"43cm, 1.69in"
100386,"43cm, 1.69in"
100387,"76inch, 10inch"
100388,"9.96in, 8.35in, 4.92in"
100389,50 cm
100390, ml
100391,"44cm, 68cm"
100392,"2 mm, 50 mm"
100393,"2 mm, 50 mm"
100394,"8.5 in, 7.8 in"
100395,"8.5 in, 7.8 in"
100396,
100397,"7.68 inch, 3.54 inch, 13.39 inch, 7.68 inch, 13.39 inch, 3.54 inch"
100398,
100399,"25mm, 23mm"
100400,"25mm, 23mm"
100401,"2.9inch, 1.77inch, 2.28inch"
100402,"2.9inch, 1.77inch, 2.28inch"
100403,92mm
100404,92mm
100405,"3.9 in, 10.0 cm, 4.7 in, 12.0 cm"
100406,"3.9 in, 10.0 cm, 4.7 in, 12.0 cm"
100407,"3.9 in, 10.0 cm, 4.7 in, 12.0 cm"
100408,
100409,
100410,"54cm, 61cm, 61cm"
100411,"54cm, 61cm, 61cm"
100412,29 cm
100413,9.5cm
100414,9.5cm
100415,400 mm
100416,6cm
100417,6cm
100418,"47mm, 1.85 inch, 8mm, 49 inch, 34 inch"
100419,"47mm, 1.85 inch, 8mm, 49 inch, 34 inch"
100420,
100421,
100422,
100423,"8.6 inch, 1 inch"
100424,15.5cm
100425,15.5cm
100426,"7cm, 13cm, 24cm"
100427,"10.6 inch, 10.2 inch, 17.2 inch"
100428,"9cm, 3.5in"
100429,"9cm, 3.5in"
100430,"80 cm, 18 cm, 7 inch, 70 cm, 60 cm, 30 cm, 12 inch, 40 cm, 16 inch, 40 cm, 30 cm, 60 cm, 24 inch, 18 cm, 70 cm, 28 inch, 80 cm, 32 inch"
100431,"34cm, 30cm, 24cm, 10cm, 12cm, 13cm"
100432,"60 mm, 105 mm"
100433,"60 mm, 105 mm"
100434,"3 cm, 11.5 cm, 3 cm, 14.5 cm"
100435,"3 cm, 11.5 cm, 3 cm, 14.5 cm"
100436,
100437,
100438,"6.2 in, 2 in, 6.2 in"
100439,"6.2 in, 2 in, 6.2 in"
100440,
100441,"45mm, 45mm, 96mm, 107mm"
100442,"71cm, 15mm, 61cm, 172cm, 183cm"
100443,"11inch, 6 inch"
100444,"11inch, 6 inch"
100445,150 cm
100446,150 cm
100447,150 cm
100448,"51g, 51g, 51g, 300g"
100449,"12.4inch, 31.5cm, 6.49inch, 9.84inch, 25cm, 37.4inch, 95cm, 25.98inch, 66cm, 2.36inch, 2.83inch, 6cm, 7.2cm, 11.81inch, 30cm, 13.38inch, 13.38inch, 34cm, 34cm"
100450,128cm
100451,4mm
100452,"30 cm, 35 cm, 40 cm, 12 cm"
100453,"247mm, 372mm"
100454,10 inch
100455,10 inch
100456,"12in, 30.5cm, 4in, 2in, 4cm, 3cm"
100457,
100458,"6.7in, 8in"
100459,23 cm
100460,23 cm
100461,23 cm
100462,"30cm, 30cm"
100463,
100464,"10cm, 4inch, 4 inch, 8.8 inch, 6 inch"
100465,9in
100466,"8.7in, 2.3in"
100467,"8.7in, 2.3in"
100468,1gb
100469,"20 lb, 10 lb, 30 lb, 35 lb, 25 lb"
100470,"23.6in, 12.3in, 39.4in, 12.3in, 43.3in, 12.3in, 23.6in"
100471,
100472,
100473,
100474,"15cm, 9inch, 7cm, 7cm"
100475,"15cm, 9inch, 7cm, 7cm"
100476,"15cm, 9inch, 7cm, 7cm"
100477,18g
100478,
100479,"25.0 cm, 15.0 cm"
100480,
100481,
100482,"23cm, 8cm"
100483,"4450mm, 8mm"
100484,
100485,
100486,
100487,"21cm, 12cm"
100488,"21cm, 12cm"
100489,
100490,
100491,
100492,
100493,
100494,35cm
100495,3.9in
100496,3.9in
100497,
100498,
100499,"6.29in, 3.15in, 3.15in, 3.15in, 8.66in, 3.15in, 3.15in"
100500,"14.2inch, 15.4inch, 17.7inch, 22.4inch, 8.7inch, 8.7inch, 8inch, 11.4inch, 21.7inch, 22inch, 8inch, 26inch, 19.3inch, 3inch, 2inch, 24inch, 8.7inch, 21.7inch, 23.6inch, 4inch, 26inch, 21.7inch, 28inch, 19.3inch, 21.7inch, 28inch, 9inch"
100501,
100502,"3cm, 8cm, 1.18inch, 3.15 inch, 4.33 inch, 6mm, 10 inch, 25.4cm, 10mm"
100503,
100504,
100505,
100506,"15cm, 5.85in"
100507,"15cm, 5.85in"
100508,"15cm, 5.85in"
100509,
100510,
100511,
100512,"3.94in, 7in, 40cm, 40cm"
100513,"15.5cm, 6.5cm"
100514,"15.5cm, 6.5cm"
100515,"15.5cm, 6.5cm"
100516,26.4mm
100517,26.4mm
100518,"7.5 in, 7.5in, 2.5 in"
100519,"28mm, 580mm, 120mm"
100520,
100521,
100522,"42.7 cm, 6.5 inch, 10 in, 25cm, 16.5 inch, 42cm"
100523,"50 cm, 35 cm"
100524,"50 cm, 35 cm"
100525,"17kg, 37.4lbs"
100526,"9 in, 5 in"
100527,"0 cm, 194 cm"
100528,"40 cm, 40 cm"
100529,"40 cm, 40 cm"
100530,"40 cm, 40 cm"
100531,35cm
100532,35cm
100533,35cm
100534,"23cm, 23cm, 9.1in"
100535,
100536,"45cm, 45cm, 33cm"
100537,"45cm, 45cm, 33cm"
100538,"34.6 in, 23.4 in, 33.1 in, 16.5in, 23.4in, 24.9in"
100539,"1.46in, 11.02 in"
100540,"1.46in, 11.02 in"
100541,"4.73 in, 27.5 in, 4.73 in"
100542,11cm
100543,11cm
100544,11cm
100545,4cm
100546,"14cm, 37.6cm, 14.8in, 9cm, 3.4in"
100547,"14cm, 37.6cm, 14.8in, 9cm, 3.4in"
100548,168 g
100549,"27.5cm, 20.5cm, 12cm, 083cm"
100550,"27.5cm, 20.5cm, 12cm, 083cm"
100551,"27.5cm, 20.5cm, 12cm, 083cm"
100552,"3 in, 3 in, 1.8in, 9.2 in, 1.8 in, 1.8 in"
100553,30 cm
100554,30 cm
100555,270 cm
100556,270 cm
100557,"6 m, 4 m, 7 m"
100558,39mm
100559,39mm
100560,39mm
100561, ml
100562,"13.9inch, 22.28inch, 9inch"
100563,12 inch
100564,12 inch
100565,12 inch
100566,"30cm, 90cm, 8inch"
100567,"30cm, 90cm, 8inch"
100568,"6ft, 1.8m, 8in"
100569,"6ft, 1.8m, 8in"
100570,
100571,
100572,
100573,
100574,
100575,
100576,
100577,"2.76in, 70   mm, 1inch, 0.98in, 25 mm"
100578,"2.76in, 70   mm, 1inch, 0.98in, 25 mm"
100579,39.37in
100580,39.37in
100581,"15cm, 22cm, 8cm, 6cm, 8cm"
100582,"30cm, 28cm, 11.02in, 20cm, 7.87in"
100583,"30cm, 28cm, 11.02in, 20cm, 7.87in"
100584,"49.6in, 126cm, 22cm, 10.2in, 26cm, 3.6in, 9cm"
100585,"49.6in, 126cm, 22cm, 10.2in, 26cm, 3.6in, 9cm"
100586,"49.6in, 126cm, 22cm, 10.2in, 26cm, 3.6in, 9cm"
100587,"17cm, 6.69inch"
100588,"7cm, 2.76in, 28cm, 11.02in, 42in, 39cm, 15.35in, 29cm"
100589,"14cm, 5.5in, 24cm, 9.43in"
100590,"14cm, 5.5in, 24cm, 9.43in"
100591,"15cm, 5.90in, 5cm, 5.70in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in"
100592,"15cm, 5.90in, 5cm, 5.70in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in, 15cm, 5.90in"
100593,6.49in
100594,6.49in
100595,
100596,110g
100597,110g
100598,"18.5cm, 19.5cm, 21cm, 22.5cm, 24cm, 27cm, 14cm, 16cm, 16cm, 17cm, 18cm, 19cm"
100599,"18.5cm, 19.5cm, 21cm, 22.5cm, 24cm, 27cm, 14cm, 16cm, 16cm, 17cm, 18cm, 19cm"
100600,"8 inch, 1.96 inch, 12.6 inch"
100601,"45cm, 38cm, 26cm, 32cm"
100602,"2.67 in, 6.8 cm"
100603,"2.67 in, 6.8 cm"
100604,"26cm, 30cm, 40cm"
100605,20cm
100606,20cm
100607,20cm
100608,
100609,
100610,"4.4 in, 4.4 in"
100611,"103cm, 52cm"
100612,
100613,
100614,"7 cm, 10 cm"
100615,"7 cm, 10 cm"
100616,72in
100617,72in
100618,72in
100619,
100620,
100621,
100622,"5cm, 23cm, 37cm, 5cm, 26cm, 11cm, 5cm"
100623,"13.7 inch, 9.5 inch, 17.6 inch"
100624,"113cm, 76cm"
100625,"113cm, 76cm"
100626,"5 cm, 5 cm, 60 cm, 5 cm, 5 cm, 35 cm, 40 cm"
100627,
100628,"31cm, 1.01ft, 8.5cm"
100629,"5 cm, 13 cm, 7 cm"
100630,
100631,78in
100632,78in
100633,78in
100634,"154mm, 6in, 9in"
100635,5cm
100636,5cm
100637,"55cm, 43cm, 93 cm, 48 cm, 43 cm, 35 cm, 55 cm"
100638,
100639,"94in, 14cm, 5.51in, 13in"
100640,1200mm
100641,"60cm, 120cm, 15cm, 150cm, 4.5cm, 15cm"
100642,
100643,
100644,"2 lbs, 3.5 lbs, 60 lbs"
100645,"32 mm, 1.26 inch, 30 mm, 25 mm, 1 inch, 1.2 inch, 12.9 inch"
100646,"32 mm, 1.26 inch, 30 mm, 25 mm, 1 inch, 1.2 inch, 12.9 inch"
100647,"32 mm, 1.26 inch, 30 mm, 25 mm, 1 inch, 1.2 inch, 12.9 inch"
100648,"7.8inch, 2.7 inch"
100649,"7.8inch, 2.7 inch"
100650,"11.8in, 20in"
100651,"11.8in, 20in"
100652,"11.8in, 20in"
100653,"4.7in, 7.1in"
100654,"4.7in, 7.1in"
100655,
100656,
100657,
100658,"135mm, 24mm, 227mm, 118mm"
100659,
100660,5 inch
100661,5 inch
100662,"8.5cm, 3.34in"
100663,"8.5cm, 3.34in"
100664,"1gb, 26v"
100665,"18cm, 37inch"
100666,"18cm, 37inch"
100667,20cm
100668,20cm
100669,33.8cm
100670,33.8cm
100671,
100672,"1.7w, 6.6w, 12w, 23.5w"
100673,"1.7w, 6.6w, 12w, 23.5w"
100674, l
100675,6.89in
100676,6.89in
100677,6.89in
100678,"15.5cm, 5.3cm"
100679,"15.5cm, 5.3cm"
100680,
100681,"5 cm, 1.97 in, 9.06 in"
100682,"11cm, 4.3in, 12cm"
100683,
100684,
100685,"53 cm, 23 cm, 90 cm"
100686,"25mm, 38mm"
100687,
100688,
100689,"7.9in, 26cm, 10.2in, 6in, 6in, 220cm"
100690,
100691,
100692,
100693,"8cm, 5in"
100694,"10 cm, 3.9in"
100695,"10 cm, 3.9in"
100696,
100697,"2.7cm, 1.06in, 5.2cm, 2.04in"
100698,"2.7cm, 1.06in, 5.2cm, 2.04in"
100699,"41 cm, 30 cm, 28 cm, 55 cm, 30 cm, 35 cm"
100700,
100701,
100702,
100703,
100704,
100705,
100706,"19in, 1.8in, 8inch"
100707,
100708,
100709,"3.5in, 32in"
100710,1200mm
100711,1200mm
100712,1200mm
100713,"12.2cm, 13.6cm, 21.2cm, 17cm, 17cm"
100714,"3.9in, 12cm, 4.7in, 15cm, 5.9in, 18cm, 7.9in, 25cm, 9.8in, 30cm, 11.8in, 15cm, 5.9in, 10cm, 9in"
100715,"10 inch, 2.32 inch, 2 inch, 11 inch, 59 inch, 4.75 inch"
100716,"8.27in, 21cm, 8.66in, 22cm"
100717,"8.27in, 21cm, 8.66in, 22cm"
100718,"215cm, 124cm"
100719,26.4 inch
100720,26.4 inch
100721,
100722,"26cm, 10.23in"
100723,"26cm, 10.23in"
100724,"3.8 cm, 3.5 cm, 3.8 cm, 3.2 cm"
100725,"4.5 kg, 4.5 kg"
100726,"4.3in, 5.7in, 4.1in, 4.3in, 4.1in, 5.7in, 4.1in, 2.8in"
100727,200mm
100728,
100729,15cm
100730,15cm
100731,15cm
100732,"33w, 33w"
100733,
100734,
100735,"12cm, 4.7in, 25.5cm"
100736,"12cm, 4.7in, 25.5cm"
100737,"12cm, 4.7in, 25.5cm"
100738,"28mm, 10mm"
100739,"1.7kg, 7.5kg"
100740,"1.7kg, 7.5kg"
100741,2.25cm
100742,2.25cm
100743,2.25cm
100744,"18.5cm, 7.2in, 16.5cm, 6.4in, 11cm, 4.3in, 7cm, 2.7in"
100745,"18.5cm, 7.2in, 16.5cm, 6.4in, 11cm, 4.3in, 7cm, 2.7in"
100746,"22cm, 50cm"
100747,"300cm, 10 ft, 10 ft, 12 ft, 12 ft, 15 ft, 10 ft"
100748,"300cm, 10 ft, 10 ft, 12 ft, 12 ft, 15 ft, 10 ft"
100749,
100750,"43cm, 43cm"
100751,"43cm, 43cm"
100752,"67mm, 45mm"
100753,"7.87in, 33cm, 12.99in, 13cm, 12in"
100754,"7.87in, 33cm, 12.99in, 13cm, 12in"
100755,
100756,
100757,36cm
100758,"11cm, 4.3in, 11cm, 4.3in, 11cm, 4.3in"
100759,"11cm, 4.3in, 11cm, 4.3in, 11cm, 4.3in"
100760,"16cm, 7.6cm, 14cm"
100761,"16cm, 7.6cm, 14cm"
100762,
100763,
100764,
100765,"30mm, 60mm"
100766,"30mm, 60mm"
100767,
100768,"620mm, 820mm, 600mm"
100769,
100770,
100771,
100772,"13cm, 20cm"
100773,"13cm, 20cm"
100774,"3.74 inch, 1.26 inch, 3.07 inch, 3.07 inch"
100775,"33cm, 12.9in, 26cm, 13cm, 5.1in, 2cm, 0.78in"
100776,"56cm, 52cm, 13cm, 152cm, 45cm, 13cm, 5cm, 45cm, 13cm"
100777,
100778,
100779,
100780,38cm
100781,38cm
100782,"41 in, 21.6in, 37.5 in"
100783,"41 in, 21.6in, 37.5 in"
100784,4.2cm
100785,4.2cm
100786,24cm
100787,24cm
100788,10.2 inch
100789,10.2 inch
100790,"12.2inch, 31cm"
100791,"12.2inch, 31cm"
100792,
100793,
100794,"22cm, 31cm, 15.6 inch, 14 inch"
100795,15cm
100796,15cm
100797,2gb
100798,
100799,3.8inch
100800,"5.7 inch, 1.8inch"
100801,45 cm
100802,45 cm
100803,
100804,"267 cm, 265 cm, 4.8 cm, 245 cm, 100 cm, 100 cm"
100805,
100806,
100807,"198cm, 67cm"
100808,"198cm, 67cm"
100809,"21.6in, 15.7in"
100810,"5.5 in, 2.9 in, 3.7 in"
100811,"2inch, 14cm, 4cm"
100812,"10in, 25cm, 5in"
100813,"10in, 25cm, 5in"
100814,"11.8 in, 30 cm"
100815,"11.8 in, 30 cm"
100816,"123cm, 52cm, 217cm"
100817,"123cm, 52cm, 217cm"
100818,"44cm, 38cm"
100819,
100820,
100821,
100822,"9.84 in, 8.26 in"
100823,"22cm, 6.6cm, 6.6cm"
100824,265mm
100825,265mm
100826,2.4 inch
100827,"8.1in, 20.5cm"
100828,"8.1in, 20.5cm"
100829,"147mm, 8in"
100830,"147mm, 8in"
100831,"147mm, 8in"
100832,
100833,"3.9 inch, 7.9 inch, 2.8 inch"
100834,"26.4cm, 15.6cm, 24.4cm, 14cm, 19.4cm"
100835,"96cm, 42cm, 62cm, 33.8cm, 28cm, 30cm, 57cm, 73cm, 31.3cm, 20cm, 56.3cm, 39.5cm"
100836,"18mm, 38mm"
100837,8inch
100838,"79m, 3cm, 40cm, 124cm, 165cm, 479m"
100839,
100840,
100841,11.8in
100842,11.8in
100843,4cm
100844,
100845,
100846,
100847,
100848,"16 inch, 40.64 cm"
100849,"16 inch, 40.64 cm"
100850,"8.1 inch, 6.5 ft, 15.7 inch"
100851,"8.1 inch, 6.5 ft, 15.7 inch"
100852,"3inch, 3.3inch"
100853,"355 mm, 490 mm, 135 mm"
