index,prediction
25277,"120cm, 120cm, 6cm, 35cm, 9cm, 35cm, 20cm, 39cm, 37cm, 83cm, 83cm, 37cm"
25278,
25279,
25280,
25281,
25282,"4cm, 16.8cm"
25283,"4cm, 16.8cm"
25284,
25285,
25286,"30cm, 04m"
25287,"30cm, 04m"
25288,"30cm, 04m"
25289,"30cm, 14cm"
25290,"30cm, 14cm"
25291,"30cm, 14cm"
25292,"56inch, 79inch"
25293,
25294,
25295,
25296,
25297,"2.32in, 3.78in, 7.2in, 17in, 4.96in, 14.57in, 15.63in"
25298,"130mm, 75mm"
25299,"2.75in, 7cm"
25300,"2.75in, 7cm"
25301,
25302,
25303,
25304,
25305,"93cm, 201cm, 127cm, 104cm"
25306,60cm
25307,60cm
25308,"203cm, 49.5cm"
25309,21 cm
25310,21 cm
25311,
25312,"2.76 in, 44mm, 3.15 in, 1.73 in"
25313,"5.5cm, 2.16in, 4cm, 1.57in"
25314,
25315,
25316,
25317,
25318,"19cm, 2.7cm, 7.5cm"
25319,"19cm, 2.7cm, 7.5cm"
25320,"9 in, 810 mm, 570 mm, 19.3 in, 490 mm"
25321,"9 in, 810 mm, 570 mm, 19.3 in, 490 mm"
25322,"3.35in, 60cm, 3cm, 16.14in, 1.19in, 5.9in"
25323,"5 cm, 15 cm"
25324,"55mm, 45mm, 42mm"
25325,"55mm, 45mm, 42mm"
25326,"55mm, 45mm, 42mm"
25327,"12in, 4.37in, 5.51in"
25328,"31 cm, 8 cm"
25329,"31 cm, 8 cm"
25330,"70.9in, 28cm, 11.8in"
25331,"3.8 inch, 3.9 inch, 5.3 inch"
25332,"3.8 inch, 3.9 inch, 5.3 inch"
25333,
25334,
25335,
25336,
25337,
25338,
25339,"14cm, 21cm"
25340,"14cm, 21cm"
25341,"55 cm, 50 cm, 50 cm"
25342,"4.9in, 10.6in, 27cm"
25343,
25344,"3in, 80cm, 31.5in"
25345,"83cm, 18cm, 28cm"
25346,"83 cm, 60 cm, 48 cm, 100 cm, 55 cm, 48 cm, 0 cm"
25347,1g
25348,"11.8in, 56in"
25349,227kg
25350,227kg
25351,"91mm, 86mm, 18mm"
25352,
25353,"59.3cm, 23.35inch, 30.8cm, 12.13inch"
25354,
25355,
25356,"14.5 cm, 14.5 cm, 3 cm, 3 cm"
25357,"14.5 cm, 14.5 cm, 3 cm, 3 cm"
25358,"3.26in, 5.19in, 2.40in"
25359,"12 inch, 30 cm"
25360,"12 inch, 30 cm"
25361,"2.25cm, 0.89in"
25362,"39 cm, 12.5 cm, 38 cm, 17 cm, 40.5 cm"
25363,
25364,
25365,
25366,"45 cm, 45 cm, 45 cm, 82 cm, 45 cm"
25367,"9mm, 9mm"
25368,
25369,"93in, 3cm, 1.18in"
25370,"3.14in, 8cm"
25371,8.5cm
25372,8.5cm
25373,"6.3mm, 22mm"
25374,
25375,
25376,
25377,
25378,"65cm, 40cm"
25379,"65cm, 40cm"
25380,"65cm, 40cm"
25381,
25382,4.8cm
25383,4.8cm
25384,
25385,
25386,"240v, 3v, 288w, 6w, 10w"
25387,"7.08in, 65in"
25388,
25389,"16cm, 17cm, 9cm"
25390,12 oz
25391,7.6cm
25392,"3m, 9m, 16m"
25393,
25394,"4.5cm, 10.2cm, 4.5cm"
25395,"4.5cm, 10.2cm, 4.5cm"
25396,21cm
25397,"8.3cm, 3.26in, 14cm, 9.8cm, 5.5in, 3.85in"
25398,"180 cm, 180 cm, 180 cm, 180 cm, 183 cm, 200 cm, 200 cm, 200 cm, 200 cm"
25399,"180 cm, 180 cm, 180 cm, 180 cm, 183 cm, 200 cm, 200 cm, 200 cm, 200 cm"
25400,70mm
25401,70mm
25402,25.4cm
25403,25.4cm
25404,
25405,
25406,"4 inch, 3.7 inch"
25407,"31cm, 31cm, 116 cm"
25408,"1.8mm, 30mm, 8inch"
25409,"7g, 3g, 2g, 6g, 44g"
25410,"64m, 22.55mm, 54.04mm"
25411,"64m, 22.55mm, 54.04mm"
25412,"38cm, 15.1inch"
25413,"38cm, 15.1inch"
25414,"38cm, 15.1inch"
25415,"12.5 cm, 4.5 cm"
25416,"12.5 cm, 4.5 cm"
25417,
25418,
25419,150cm
25420,
25421,
25422,
25423,"19cm, 16.4cm, 9.2cm"
25424,
25425,"10.7cm, 4.21in, 45cm"
25426,"10.7cm, 4.21in, 45cm"
25427,"10.7cm, 4.21in, 45cm"
25428,"27cm, 10.63 inch"
25429,"27cm, 10.63 inch"
25430,
25431,
25432,4 cm
25433,34in
25434,34in
25435,"65mm, 2.53in, 1.4in, 36mm, 97mm, 3.78in, 82mm, 80mm, 3.12in"
25436,"65mm, 2.53in, 1.4in, 36mm, 97mm, 3.78in, 82mm, 80mm, 3.12in"
25437,400g
25438,"5.7in, 23cm, 9.04in"
25439,"5.7in, 23cm, 9.04in"
25440,
25441,
25442,"1.14 in, 29mm, 36.7mm, 3.83 in"
25443,"36mm, 1.42in"
25444,"36mm, 1.42in"
25445,"20in, 47in"
25446,27 cm
25447,27 cm
25448,76g
25449,300 mg
25450,"72 inch, 72 inch"
25451,"72 inch, 72 inch"
25452,
25453,
25454,60kg
25455,
25456,3.8cm
25457,3.8cm
25458,285mm
25459,148cm
25460,148cm
25461,"130cm, 120cm, 110cm"
25462,"130cm, 120cm, 110cm"
25463,"130cm, 120cm, 110cm"
25464,
25465,"38cm, 50m"
25466,400lbs
25467,20 lbs
25468,"30.5cm, 12in"
25469,"30.5cm, 12in"
25470,
25471,
25472,
25473,5.9 inch
25474,5.9 inch
25475,"17.5cm, 6.88in"
25476,"15.0 in, 38.0 cm, 20.0 cm"
25477,"14cm, 5.51in"
25478,"14cm, 5.51in"
25479,"14cm, 5.51in"
25480,"25.4mm, 625mm, 740mm, 360mm, 560mm"
25481,"23cm, 23cm, 23cm, 9.05in"
25482,"23cm, 23cm, 23cm, 9.05in"
25483,"23cm, 23cm, 23cm, 9.05in"
25484,"13 inch, 16 inch"
25485,"13 inch, 16 inch"
25486,"13cm, 5.1in, 9cm, 3.5in"
25487,"13cm, 5.1in, 9cm, 3.5in"
25488,"6.25 in, 8.25 in"
25489,"6.25 in, 8.25 in"
25490,
25491,
25492,"59cm, 56cm, 86cm, 55cm, 16cm, 50cm, 92cm"
25493,
25494,5 cm
25495,5 cm
25496,"20.8kg, 45.9lb, 150kg, 330lb"
25497,2inch
25498,60 cm
25499,"35 cm, 54 cm, 13.77 in, 21.25 in, 5 cm, 8.5 in, 45 cm, 5 cm, 17.7in, 24.2 in"
25500,
25501,30mm
25502,30mm
25503,"12cm, 4.72inch"
25504,40cm
25505,13 inch
25506,13 inch
25507,13 inch
25508,
25509,12.8cm
25510,12.8cm
25511,
25512,
25513,"38cm, 88cm, 20cm"
25514,"72cm, 201cm, 77cm"
25515,39.37in
25516,"9cm, 3.54in"
25517,"9cm, 3.54in"
25518,3.28 ft
25519,3.28 ft
25520,"24cm, 34cm, 13cm"
25521,"24cm, 34cm, 13cm"
25522,"25 cm, 8 in, 33 cm, 13 in, 29 cm, 4 in"
25523,"25 cm, 8 in, 33 cm, 13 in, 29 cm, 4 in"
25524,"25 cm, 8 in, 33 cm, 13 in, 29 cm, 4 in"
25525,"20cm, 7.9in, 3cm, 1.2in, 23cm, 9.1in"
25526,"20cm, 7.9in, 3cm, 1.2in, 23cm, 9.1in"
25527,15.75 inch
25528,15.75 inch
25529,"018.6cm, 8cm, 2cm"
25530,
25531,"9.8in, 25cm"
25532,"9.8in, 25cm"
25533,"5.86 inch, 9cm, 8cm, 5.03 inch, 92 inch"
25534,19cm
25535,35mm
25536,35mm
25537,35mm
25538,"48cm, 85cm, 137cm, 20cm, 85cm, 53cm, 53cm"
25539,"4.3cm, 1.3cm, 4.3cm"
25540,
25541,"19cm, 7.48in, 1.97 in, 72in, 12cm"
25542,"30cm, 118in"
25543,"30cm, 118in"
25544,"30cm, 118in"
25545,"55cm, 132cm, 40cm, 90cm, 9cm, 32cm, 55cm, 56cm, 40cm, 90cm, 38cm, 56cm"
25546,"135mm, 125mm"
25547,"13cm, 4.5cm, 3.8cm, 9cm, 1.8cm"
25548,"13cm, 4.5cm, 3.8cm, 9cm, 1.8cm"
25549,
25550,60cm
25551,60cm
25552,"18 in, 41in, 14in, 29 in"
25553,"18 in, 41in, 14in, 29 in"
25554,
25555,
25556,"2.36in, 6cm, 14in, 8cm"
25557,"1.55cm, 4cm"
25558,"11.7 in, 30.0 cm, 44in, 11.3 cm"
25559,"11.7 in, 30.0 cm, 44in, 11.3 cm"
25560,
25561,
25562,
25563,10kg
25564,"17.5cm, 11.5cm"
25565,"17.5cm, 11.5cm"
25566,"35 cm, 80 m, 50 m"
25567,"35 cm, 80 m, 50 m"
25568,"35 cm, 80 m, 50 m"
25569,"10.6 in, 27 cm, 3.3 in, 8.5 cm"
25570,"10.6 in, 27 cm, 3.3 in, 8.5 cm"
25571,350 mm
25572,
25573,"5 cm, 2.6in"
25574,"5 cm, 2.6in"
25575,"5 cm, 2.6in"
25576,
25577,
25578,17 inch
25579,17 inch
25580,"5.6 in, 14.3 cm, 10.6 in, 27 cm"
25581,"5.6 in, 14.3 cm, 10.6 in, 27 cm"
25582,"5.6 in, 14.3 cm, 10.6 in, 27 cm"
25583,"7cm, 2.75in"
25584,"7cm, 2.75in"
25585,"75cm, 120cm"
25586,
25587,
25588,
25589,"10.4cm, 31.75cm"
25590,
25591,
25592,"7.47 in, 19 cm, 3.54 in, 9 cm"
25593,"7.47 in, 19 cm, 3.54 in, 9 cm"
25594,"12 cm, 7 cm, 34 cm"
25595,
25596,
25597,350kg
25598,350kg
25599,
25600,
25601,
25602,"34in, 6.7in"
25603,"34in, 6.7in"
25604,"177mm, 187mm, 269mm"
25605,600g
25606,"5cm, 5cm"
25607,"17cm, 19cm, 4cm"
25608,42 g
25609,"17cm, 6.7in, 13cm, 5.7cm"
25610,"1.5m, 2m"
25611,"1.5m, 2m"
25612,120 kg
25613,120 kg
25614,"0.8cm, 0.3inch, 1.8inch"
25615,"0.8cm, 0.3inch, 1.8inch"
25616,"8.5cm, 11cm"
25617,"8.5cm, 11cm"
25618,"70cm, 70cm, 125cm"
25619,"70cm, 70cm, 125cm"
25620,"12cm, 150cm, 20cm"
25621,"12cm, 150cm, 20cm"
25622,"8.8 cm, 3.5 in, 7.0 cm, 2.7 in"
25623,"8.8 cm, 3.5 in, 7.0 cm, 2.7 in"
25624,5.9inch
25625,5.9inch
25626,
25627,
25628,
25629,
25630,
25631,
25632,"38 cm, 38.5 cm, 55.5 cm"
25633,"38 cm, 38.5 cm, 55.5 cm"
25634,
25635,"5.9 in, 15 cm, 24 cm"
25636,"5.9 in, 15 cm, 24 cm"
25637,"12.2 in, 31 cm, 6.7in"
25638,
25639,"1.1 inch, 0.5 inch"
25640,"15.5cm, 2.95in, 7.5cm, 2.95in"
25641,"15.5cm, 2.95in, 7.5cm, 2.95in"
25642,
25643,"13cm, 5.1in, 6.7cm, 2.6in"
25644,"13cm, 5.1in, 6.7cm, 2.6in"
25645,"43 cm, 30 cm"
25646,"4.13in, 2ft"
25647,"4.13in, 2ft"
25648,
25649,2.1in
25650,"22.8in, 58cm"
25651,"7.6cm, 7.6cm"
25652,
25653,"9cm, 3.54inch"
25654,18cm
25655,
25656,
25657,"295mm, 1160mm, 280mm"
25658,
25659,15cm
25660,15cm
25661,
25662,
25663,"6 cm, 64 cm, 2 cm"
25664,2.75 inch
25665,2.75 inch
25666,"6.5cm, 2.56in"
25667,
25668,
25669,
25670,
25671,"3.5 inch, 6 inch"
25672,"7cm, 7cm"
25673,"7cm, 7cm"
25674,8in
25675,8in
25676,
25677,
25678,
25679,
25680,
25681,7.6in
25682,7.6in
25683,"0cm, 5.7cm, 7.8cm, 12.2cm, 9.7cm"
25684,
25685,"40 cm, 8 cm, 5 cm, 5 cm, 97 cm, 70 cm, 40 cm, 5 cm"
25686,"4.79in, 12.2cm, 3.9in"
25687,"4.79in, 12.2cm, 3.9in"
25688,"84cm, 74cm, 8cm"
25689,14cm
25690,"40lbs, 65lbs, 100lbs"
25691,"5.5cm, 25cm, 9cm"
25692,12v
25693,"0.43in, 1.1cm, 13in, 33cm"
25694,"0.43in, 1.1cm, 13in, 33cm"
25695,"13.9cm, 5.47in"
25696,"13.9cm, 5.47in"
25697,
25698,"36cm, 14.17in, 13cm, 5.12in"
25699,
25700,"6cm, 6in"
25701,"6cm, 6in"
25702,"31.49in, 29.13in, 72in"
25703,"31.49in, 29.13in, 72in"
25704,11cm
25705,11cm
25706,11cm
25707,
25708,
25709,"9in, 12.5cm, 4.9in, 20cm"
25710,"16cm, 9cm"
25711,"28cm, 15.5cm"
25712,"37.5cm, 29.5cm, 22.5cm"
25713,
25714,"6cm, 23.8cm"
25715,"6cm, 23.8cm"
25716,03mm
25717,03mm
25718,
25719,
25720,
25721,"32mm, 43mm"
25722,"32mm, 43mm"
25723,3.3in
25724,"33 in, 33 in"
25725,"60cm, 23.6in"
25726,"60cm, 23.6in"
25727,"10.8w, 28v"
25728,"10.8w, 28v"
25729,"17cm, 21.5cm, 23.5cm"
25730,
25731,
25732,
25733,"34 cm, 34 cm, 49 cm, 45 cm, 43 cm"
25734,"34 cm, 34 cm, 49 cm, 45 cm, 43 cm"
25735,
25736,
25737,
25738,
25739,"12.5cm, 4.9in"
25740,"12.5cm, 4.9in"
25741,3.28ft
25742,3.28ft
25743,"3.2cm, 6.5cm"
25744,
25745,6.2cm
25746,6.2cm
25747,
25748,
25749,
25750,"3.56 cm, 9.91 cm, 4.6 cm"
25751,"3.56 cm, 9.91 cm, 4.6 cm"
25752,
25753,
25754,"6.5 inch, 3 inch"
25755,"6.5 inch, 3 inch"
25756,"6.5 inch, 3 inch"
25757,15cm
25758,
25759,
25760,8cm
25761,"27cm, 27cm"
25762, l
25763,6.69 inch
25764,6.69 inch
25765,6.69 inch
25766,"3.3ft, 12ft"
25767,
25768,33mm
25769,33mm
25770,33mm
25771,
25772,
25773,"9in, 9in, 798mm, 77.8in, 20cm"
25774,"13cm, 9cm"
25775,"13cm, 9cm"
25776,"13cm, 9cm"
25777,"86cm, 85cm"
25778,"24 cm, 18 cm"
25779,"50mm, 18cm"
25780,"6mm, 511m"
25781,"6mm, 511m"
25782,
25783,
25784,
25785,
25786,"16cm, 9cm"
25787,"16cm, 9cm"
25788,"1.18 in, 3cm, 2.83 in, 7.2cm"
25789,"1.18 in, 3cm, 2.83 in, 7.2cm"
25790,
25791,
25792,
25793,"7cm, 13cm"
25794,"7cm, 13cm"
25795,5lb
25796,20v
25797,20v
25798,27 cm
25799,27 cm
25800,27 cm
25801,
25802,
25803,
25804,"26cm, 20cm"
25805,
25806,
25807,
25808,12v
25809,12v
25810,"4.2cm, 1.6inch"
25811,11.8 in
25812,11.8 in
25813,"98.7mm, 3.89 in, 49.5mm, 1.95 in"
25814,"45cm, 18in, 10in"
25815,"60cm, 6inch, 107cm"
25816,"60cm, 6inch, 107cm"
25817,
25818,
25819,
25820,"213.36cm, 198.12cm"
25821,22cm
25822,22cm
25823,22cm
25824,"42cm, 50cm, 19cm"
25825,"19.7in, 12cm, 47in"
25826,
25827,"8cm, 22cm, 9cm, 9cm, 8cm, 22cm"
25828,
25829,"10 cm, 28 cm"
25830,"10 cm, 28 cm"
25831,
25832,
25833,
25834,9v
25835,"21cm, 18.8cm"
25836,"6mm, 2.36in"
25837,"6mm, 2.36in"
25838,"9.8cm, 3.85in, 5.5cm, 2.16in"
25839,"94in, 94in"
25840,
25841,"3.9 inch, 10 cm"
25842,
25843,
25844,210cm
25845,210cm
25846,"3ft, 4ft, 4.6ft, 6ft"
25847,"3ft, 4ft, 4.6ft, 6ft"
25848,"84cm, 203cm"
25849,"84cm, 203cm"
25850,"21v, 21v"
25851,"32cm, 32cm, 36cm, 101cm, 116cm, 32cm, 32cm, 31cm, 15cm"
25852,
25853,
25854,"18cm, 13.2cm, 7cm"
25855,450 g
25856,"3.54 in, 9 cm, 3.26 in, 8 cm, 7.7 in, 18 cm"
25857,"144.3 mm, 41mm, 41mm"
25858,19.68in
25859,2mm
25860,"62mm, 75mm, 60mm, 67mm, 30mm, 36mm, 38mm"
25861,
25862,
25863,"20kg, 20kg"
25864,"4 cm, 5 cm"
25865,"4 cm, 5 cm"
25866,"7cm, 5cm"
25867,"7cm, 5cm"
25868,"7.08 in, 8.66 in, 95 in, 15 in"
25869,"7.08 in, 8.66 in, 95 in, 15 in"
25870,
25871,35cm
25872,35cm
25873,35cm
25874,"12 in, 12 in"
25875,"12 in, 12 in"
25876,"12 in, 12 in"
25877,"380mm, 1144mm, 367mm"
25878,
25879,"185mm, 54mm"
25880,3.93inch
25881,3.93inch
25882,
25883,"13.5cm, 5.31in"
25884,"13.5cm, 5.31in"
25885,
25886,
25887,"5 cm, 24cm, 2 cm"
25888,"5 cm, 24cm, 2 cm"
25889,"46mm, 16mm"
25890,"46mm, 16mm"
25891,
25892,244 g
25893,152mm
25894,"25cm, 40cm"
25895,"6.8cm, 8.2cm"
25896,"6.8cm, 8.2cm"
25897,"8mm, 3mm, 9mm"
25898,"3.5cm, 1.37in"
25899,
25900,
25901,"3.54in, 9 cm, 3.74in, 9.5 cm"
25902,"3.54in, 9 cm, 3.74in, 9.5 cm"
25903,"60 mm, 290 mm, 95 mm, 260 mm, 60 mm"
25904,"60 mm, 290 mm, 95 mm, 260 mm, 60 mm"
25905,"220cm, 106cm"
25906,"17cm, 17cm"
25907,"17cm, 17cm"
25908,"17cm, 17cm"
25909,"8.5cm, 3.34in"
25910,"20cm, 30cm"
25911,
25912,"100cm, 30cm"
25913,12mm
25914,12mm
25915,12mm
25916, ml
25917,"33 cm, 13 inch, 23 cm, 9 inch, 8 cm, 3 inch, 10 inch"
25918,"1.6 in, 1.9 in"
25919,"1.6 in, 1.9 in"
25920,"8.3cm, 5.3cm"
25921,"8.3cm, 5.3cm"
25922,"17.1cm, 6.73in"
25923, l
25924,26mm
25925,26mm
25926,
25927,
25928,"9.50cm, 3.74in, 9.50cm, 3.74in"
25929,"9.50cm, 3.74in, 9.50cm, 3.74in"
25930,"9.50cm, 3.74in, 9.50cm, 3.74in"
25931,
25932,
25933,
25934,
25935,"13 in, 4.5 in"
25936,150kg
25937,150kg
25938,22.5cm
25939,22.5cm
25940,22.5cm
25941,
25942,
25943,
25944,"32mm, 265mm, 61mm, 32mm, 265mm"
25945,"12cm, 19cm"
25946,
25947,"14.5cm, 5.71in"
25948,"1.97 in, 5.0 cm, 3.54 in, 9.0 cm"
25949,"1.97 in, 5.0 cm, 3.54 in, 9.0 cm"
25950,7.87in
25951,7.87in
25952,7.87in
25953,205mm
25954,"29cm, 12cm, 4.72 inch"
25955,"40g, 5g, 17g, 2g, 3g, 12g, 1.8mg, 110mg"
25956,25mm
25957,25mm
25958,"3cm, 29in, 165in"
25959,"179cm, 5cm, 5cm, 52cm, 36cm, 36cm, 38cm"
25960,
25961,24cm
25962,24cm
25963,24cm
25964,"15mm, 47mm"
25965,"15mm, 47mm"
25966,
25967,44cm
25968,"14.8cm, 8.8cm, 8.8cm"
25969,"14.8cm, 8.8cm, 8.8cm"
25970,
25971,
25972,"70 cm, 70 cm"
25973,"70 cm, 70 cm"
25974,12 inch
25975,12 inch
25976,
25977,
25978,"12cm, 152.4cm, 173.4cm, 19.05 cm, 33.02 cm"
25979,9cm
25980,9cm
25981,"55mm, 2.16in"
25982,"55mm, 2.16in"
25983,"54cm, 21.3in, 30cm, 11.7in, 40cm, 15.7in"
25984,
25985,
25986,"19cm, 13cm, 5.1in"
25987,
25988,"25cm, 9.8in"
25989,"25cm, 9.8in"
25990,10.7lb
25991,"1500w, 120v"
25992,"1500w, 120v"
25993,5.7inch
25994,5.7inch
25995,
25996,
25997,"13cm, 5.11in, 13cm"
25998,"13cm, 5.11in, 13cm"
25999,174g
26000,12v
26001,"125mm, 130mm"
26002,"125mm, 130mm"
26003,
26004,
26005,2.5 inch
26006,2.5 inch
26007,
26008,"4.99 in, 12.7 cm, 7.07 in, 18 cm, 3.58 in, 9.1 cm, 18cm, 7.09in"
26009,"100cm, 180cm"
26010,"2.5 inch, 13 inch, 3.1 inch, 5.3 inch, 2 inch"
26011,"06 inch, 0.98 inch, 7.56inch"
26012,000 watt
26013,000 watt
26014,"1.54inch, 4cm, 5.91inch, 91inch"
26015,3.1in
26016,3.1in
26017,
26018,"90 cm, 8 cm"
26019,
26020,
26021,
26022,"84cm, 37cm"
26023,"84cm, 37cm"
26024,"8cm, 24cm"
26025,"9.7cm, 3.8in, 18cm"
26026,"6.7inch, 24inch, 610mm"
26027,"12cm, 38cm"
26028,"12cm, 38cm"
26029,"35.7 cm, 22 cm, 27.2 cm"
